,Content ID,Reaction Type,Datetime,Content Type,Category,Score,Sentiment,  Each Category,Total Scores 
18891,0ac85d23-c8ba-49ed-bec1-493b960a88c0,adore,2/11/2020,photo,science,72,positive,,
18895,0ac85d23-c8ba-49ed-bec1-493b960a88c0,adore,5/12/2020,photo,science,72,positive,,
18923,ef619e47-1e88-4e0f-8d91-590cd9ecc137,adore,30/12/20 16:59,photo,animals,72,negative,,
18952,f65dbde9-c8dc-4851-927e-964fa2e0908a,adore,15/12/20 19:42,video,education,72,positive,,
18953,f65dbde9-c8dc-4851-927e-964fa2e0908a,adore,11/3/2021,video,education,72,positive,,
18964,019b61f4-926c-438e-adaf-6119c5eab752,adore,3/1/2021,photo,fitness,72,negative,,
18968,019b61f4-926c-438e-adaf-6119c5eab752,adore,5/12/2020,photo,fitness,72,positive,,
18978,049c926f-9095-4bb2-a464-666a68257f61,adore,19/3/21 15:45,video,dogs,72,positive,,
18985,049c926f-9095-4bb2-a464-666a68257f61,adore,25/8/20 3:31,video,dogs,72,positive,,
19004,049c926f-9095-4bb2-a464-666a68257f61,adore,27/9/20 12:14,video,dogs,72,positive,,
19038,8123c0ac-30b0-4a20-bebe-864b3a6b9e9a,adore,17/4/21 2:52,GIF,soccer,72,positive,,
19064,724b9f31-8bdc-4152-b93f-4d3e457201ef,adore,7/3/2021,audio,animals,72,positive,,
19074,724b9f31-8bdc-4152-b93f-4d3e457201ef,adore,7/4/2021,audio,animals,72,negative,,
19075,724b9f31-8bdc-4152-b93f-4d3e457201ef,adore,31/12/20 20:55,audio,animals,72,negative,,
19083,6aa06c00-d796-43c3-816d-70f21fe58f80,adore,27/5/21 13:22,audio,science,72,negative,,
19085,6aa06c00-d796-43c3-816d-70f21fe58f80,adore,9/8/2020,audio,science,72,positive,,
19093,6aa06c00-d796-43c3-816d-70f21fe58f80,adore,2/11/2020,audio,science,72,positive,,
19094,6aa06c00-d796-43c3-816d-70f21fe58f80,adore,7/9/2020,audio,science,72,negative,,
19101,6aa06c00-d796-43c3-816d-70f21fe58f80,adore,9/6/2021,audio,science,72,positive,,
19102,6aa06c00-d796-43c3-816d-70f21fe58f80,adore,16/9/20 20:25,audio,science,72,negative,,
19121,3f6b1a9d-db78-4d9a-a495-9de7bd9bbe5b,adore,1/9/2020,GIF,tennis,72,positive,,
19153,3f6b1a9d-db78-4d9a-a495-9de7bd9bbe5b,adore,15/6/21 6:37,GIF,tennis,72,neutral,,
19181,96ece45a-89e4-4cf8-b216-c860bf8e158e,adore,29/9/20 6:20,photo,food,72,positive,,
19184,96ece45a-89e4-4cf8-b216-c860bf8e158e,adore,12/3/2021,photo,food,72,negative,,
19213,5efb3710-c34d-4dc4-84dd-31cd8c5d9c30,adore,22/2/21 6:12,audio,animals,72,negative,,
19245,6912f8e6-86b7-44f6-8aa8-c21c2ed0b53c,adore,11/7/2020,GIF,food,72,positive,,
19274,4dd4da35-453e-466d-95ca-b1a7710fac1f,adore,13/10/20 12:29,GIF,technology,72,negative,,
19275,4dd4da35-453e-466d-95ca-b1a7710fac1f,adore,23/9/20 8:46,GIF,technology,72,negative,,
19280,4dd4da35-453e-466d-95ca-b1a7710fac1f,adore,21/3/21 10:01,GIF,technology,72,negative,,
19291,4dd4da35-453e-466d-95ca-b1a7710fac1f,adore,23/2/21 23:49,GIF,technology,72,negative,,
19307,4dd4da35-453e-466d-95ca-b1a7710fac1f,adore,4/5/2021,GIF,technology,72,positive,,
19315,4dd4da35-453e-466d-95ca-b1a7710fac1f,adore,2/1/2021,GIF,technology,72,positive,,
19317,4dd4da35-453e-466d-95ca-b1a7710fac1f,adore,18/2/21 10:53,GIF,technology,72,neutral,,
19344,1bbfe52f-37e2-4874-8422-161a60b331e1,adore,13/3/21 3:13,GIF,culture,72,positive,,
19351,1bbfe52f-37e2-4874-8422-161a60b331e1,adore,11/9/2020,GIF,culture,72,positive,,
19365,1bbfe52f-37e2-4874-8422-161a60b331e1,adore,3/1/2021,GIF,culture,72,negative,,
19377,94f8ffbb-d888-4713-8cdd-ea57466d88b2,adore,21/7/20 19:15,video,science,72,positive,,
19391,6e71ed3d-3fba-4bd1-8de7-2798dec6431e,adore,16/8/20 0:50,audio,studying,72,positive,,
19397,6e71ed3d-3fba-4bd1-8de7-2798dec6431e,adore,24/5/21 3:14,audio,studying,72,negative,,
19457,b38723f3-878c-4308-b173-14f03639d9b8,adore,4/10/2020,video,travel,72,negative,,
19538,e1eb9e92-2e08-48b0-8be7-a2a98048aa08,adore,7/3/2021,video,public speaking,72,negative,,
19554,44eab5ca-b4a4-46c4-977d-197a78551861,adore,26/10/20 7:09,audio,technology,72,negative,,
19593,a739e02a-5d83-4e0e-b306-740652cf700a,adore,27/5/21 10:45,video,science,72,negative,,
19595,a739e02a-5d83-4e0e-b306-740652cf700a,adore,9/10/2020,video,science,72,positive,,
19607,a739e02a-5d83-4e0e-b306-740652cf700a,adore,4/8/2020,video,science,72,negative,,
19609,a739e02a-5d83-4e0e-b306-740652cf700a,adore,16/5/21 12:04,video,science,72,negative,,
19624,7cace87f-53ff-40c0-99f5-abbc5b8f86d6,adore,23/10/20 23:20,GIF,cooking,72,negative,,
19628,7cace87f-53ff-40c0-99f5-abbc5b8f86d6,adore,31/10/20 22:19,GIF,cooking,72,negative,,
19634,7cace87f-53ff-40c0-99f5-abbc5b8f86d6,adore,2/12/2020,GIF,cooking,72,positive,,
19688,25c36533-1de5-4d82-879b-86180503cf8d,adore,25/2/21 1:21,photo,travel,72,positive,,
19753,a861f7e7-b2f5-4d86-966c-7503c8faaeca,adore,6/2/2021,GIF,animals,72,positive,,
19764,56b0b1ab-a07c-4379-b699-80ccc8689c85,adore,20/5/21 0:04,video,culture,72,positive,,
19788,56b0b1ab-a07c-4379-b699-80ccc8689c85,adore,13/6/21 15:20,video,culture,72,positive,,
19818,6c8d057d-756a-41dd-afef-bf73adffbdf4,adore,8/10/2020,audio,food,72,positive,,
19824,6c8d057d-756a-41dd-afef-bf73adffbdf4,adore,8/7/2020,audio,food,72,negative,,
19837,6c8d057d-756a-41dd-afef-bf73adffbdf4,adore,11/10/2020,audio,food,72,negative,,
19850,f6055aa8-0c90-4e92-a8a6-7d046f35acd4,adore,7/2/2021,GIF,animals,72,positive,,
19858,59f7eb93-7ffc-4627-98a6-9ecaa5e35206,adore,7/8/2020,GIF,cooking,72,negative,,
19865,59f7eb93-7ffc-4627-98a6-9ecaa5e35206,adore,12/12/2020,GIF,cooking,72,positive,,
19915,fe06b730-b1f8-4f55-af1a-52487d8f1ec6,adore,6/2/2021,video,animals,72,positive,,
19922,fe06b730-b1f8-4f55-af1a-52487d8f1ec6,adore,21/6/20 0:23,video,animals,72,positive,,
19937,92c1fcb5-5b56-4780-85cb-0c4858b39b3e,adore,4/9/2020,video,travel,72,negative,,
19939,92c1fcb5-5b56-4780-85cb-0c4858b39b3e,adore,13/2/21 23:06,video,travel,72,negative,,
19941,92c1fcb5-5b56-4780-85cb-0c4858b39b3e,adore,24/1/21 22:18,video,travel,72,neutral,,
19945,92c1fcb5-5b56-4780-85cb-0c4858b39b3e,adore,16/12/20 17:16,video,travel,72,positive,,
19949,92c1fcb5-5b56-4780-85cb-0c4858b39b3e,adore,10/8/2020,video,travel,72,positive,,
19995,451b228b-9d66-45a4-b6fa-46c502562b5f,adore,20/9/20 14:00,video,healthy eating,72,neutral,,
19999,451b228b-9d66-45a4-b6fa-46c502562b5f,adore,14/11/20 10:11,video,healthy eating,72,positive,,
20004,451b228b-9d66-45a4-b6fa-46c502562b5f,adore,25/4/21 23:26,video,healthy eating,72,neutral,,
20055,1dbed432-50e6-4955-9ac8-798fb60b2f0e,adore,17/1/21 10:25,video,science,72,positive,,
20063,1dbed432-50e6-4955-9ac8-798fb60b2f0e,adore,26/6/20 9:49,video,science,72,negative,,
20065,1dbed432-50e6-4955-9ac8-798fb60b2f0e,adore,3/9/2020,video,science,72,neutral,,
20066,1dbed432-50e6-4955-9ac8-798fb60b2f0e,adore,10/3/2021,video,science,72,negative,,
20072,1dbed432-50e6-4955-9ac8-798fb60b2f0e,adore,8/11/2020,video,science,72,negative,,
20104,7c47e333-da29-4be9-8156-2e5f75a991e1,adore,27/6/20 7:32,video,dogs,72,negative,,
20105,7c47e333-da29-4be9-8156-2e5f75a991e1,adore,19/12/20 18:15,video,dogs,72,positive,,
20120,f1836624-ac23-4c4c-a868-ebf3256d6e80,adore,2/8/2020,GIF,cooking,72,negative,,
20127,ae87a6a3-1a9e-4323-981d-b63c1f8ca2a6,adore,18/4/21 16:46,audio,food,72,positive,,
20145,2664a681-e732-422f-b529-02fabb6ec9ab,adore,16/9/20 7:59,audio,healthy eating,72,positive,,
20156,2664a681-e732-422f-b529-02fabb6ec9ab,adore,13/8/20 14:03,audio,healthy eating,72,positive,,
20163,aad272f0-2b16-478b-b2c5-c502b060fc30,adore,1/12/2020,photo,dogs,72,negative,,
20166,aad272f0-2b16-478b-b2c5-c502b060fc30,adore,9/4/2021,photo,dogs,72,positive,,
20208,c75dfa33-cd71-486f-b4e1-f5e9133ae873,adore,11/10/2020,photo,veganism,72,positive,,
20214,c75dfa33-cd71-486f-b4e1-f5e9133ae873,adore,4/9/2020,photo,veganism,72,positive,,
20219,c75dfa33-cd71-486f-b4e1-f5e9133ae873,adore,12/1/2021,photo,veganism,72,positive,,
20226,c75dfa33-cd71-486f-b4e1-f5e9133ae873,adore,15/7/20 9:49,photo,veganism,72,positive,,
20239,0f1cb5c0-ac2a-4c8a-9fb9-115d60493247,adore,23/6/20 23:33,GIF,veganism,72,positive,,
20243,0f1cb5c0-ac2a-4c8a-9fb9-115d60493247,adore,5/2/2021,GIF,veganism,72,neutral,,
20289,40727608-362e-4e10-970f-2b5a5f8c37c1,adore,15/12/20 17:11,photo,science,72,neutral,,
20314,09f2e925-5086-42ad-8160-e763396a36ca,adore,5/9/2020,audio,dogs,72,negative,,
20327,09f2e925-5086-42ad-8160-e763396a36ca,adore,7/9/2020,audio,dogs,72,positive,,
20332,6cbac852-fec6-49e2-95db-d62edeb477d0,adore,30/8/20 6:38,video,healthy eating,72,negative,,
20340,6cbac852-fec6-49e2-95db-d62edeb477d0,adore,25/2/21 20:05,video,healthy eating,72,positive,,
20342,6cbac852-fec6-49e2-95db-d62edeb477d0,adore,5/4/2021,video,healthy eating,72,negative,,
20345,6cbac852-fec6-49e2-95db-d62edeb477d0,adore,30/12/20 23:17,video,healthy eating,72,positive,,
20351,6cbac852-fec6-49e2-95db-d62edeb477d0,adore,14/1/21 20:29,video,healthy eating,72,negative,,
20384,445a06c1-3dea-4129-90eb-2384c0534eb6,adore,4/8/2020,GIF,technology,72,neutral,,
20408,445a06c1-3dea-4129-90eb-2384c0534eb6,adore,8/4/2021,GIF,technology,72,positive,,
20497,1b6f05f1-df9e-4ad4-989e-029baf20478f,adore,21/6/20 17:46,audio,fitness,72,positive,,
20508,1b6f05f1-df9e-4ad4-989e-029baf20478f,adore,20/11/20 4:52,audio,fitness,72,neutral,,
20512,1b6f05f1-df9e-4ad4-989e-029baf20478f,adore,19/10/20 18:09,audio,fitness,72,negative,,
20518,1b6f05f1-df9e-4ad4-989e-029baf20478f,adore,23/5/21 16:59,audio,fitness,72,neutral,,
20523,1a5b511a-7199-4f05-988a-1f1d0380ca11,adore,25/5/21 3:05,GIF,travel,72,positive,,
20542,1a5b511a-7199-4f05-988a-1f1d0380ca11,adore,31/7/20 16:31,GIF,travel,72,negative,,
20543,1a5b511a-7199-4f05-988a-1f1d0380ca11,adore,10/9/2020,GIF,travel,72,negative,,
20547,1a5b511a-7199-4f05-988a-1f1d0380ca11,adore,15/8/20 22:56,GIF,travel,72,neutral,,
20553,1a5b511a-7199-4f05-988a-1f1d0380ca11,adore,17/2/21 17:52,GIF,travel,72,positive,,
20557,1a5b511a-7199-4f05-988a-1f1d0380ca11,adore,19/5/21 3:26,GIF,travel,72,negative,,
20611,ec69ad7c-c57b-4d10-ad0f-930ff10bf687,adore,8/3/2021,video,science,72,positive,,
20612,ec69ad7c-c57b-4d10-ad0f-930ff10bf687,adore,26/9/20 12:29,video,science,72,neutral,,
20617,ec69ad7c-c57b-4d10-ad0f-930ff10bf687,adore,21/8/20 13:38,video,science,72,positive,,
20627,51a9bf9c-2c90-487b-ad37-9db7f18c36e7,adore,3/9/2020,video,travel,72,positive,,
20631,51a9bf9c-2c90-487b-ad37-9db7f18c36e7,adore,27/6/20 21:11,video,travel,72,positive,,
20660,9c542f56-b0ec-4df1-b95e-f56e1c467813,adore,15/2/21 10:44,audio,food,72,positive,,
20728,e8d62710-7e3a-4bef-b6da-edaaed70c401,adore,24/7/20 10:39,photo,healthy eating,72,positive,,
20741,e8d62710-7e3a-4bef-b6da-edaaed70c401,adore,6/5/2021,photo,healthy eating,72,positive,,
20750,e8d62710-7e3a-4bef-b6da-edaaed70c401,adore,12/7/2020,photo,healthy eating,72,positive,,
20762,d3cc4cf1-81f9-49e7-bf5d-c0ae10a88139,adore,13/4/21 16:05,video,culture,72,positive,,
20767,d3cc4cf1-81f9-49e7-bf5d-c0ae10a88139,adore,14/5/21 14:05,video,culture,72,negative,,
20791,d3cc4cf1-81f9-49e7-bf5d-c0ae10a88139,adore,14/11/20 4:16,video,culture,72,positive,,
20819,95fe7e7c-f327-4a0a-af06-5a88346f8546,adore,28/6/20 17:26,video,science,72,positive,,
20828,95fe7e7c-f327-4a0a-af06-5a88346f8546,adore,13/7/20 17:37,video,science,72,positive,,
20864,4dca44b9-e65c-4d9d-93eb-6a24ec8950e9,adore,4/12/2020,photo,animals,72,positive,,
20889,8b08e78c-4798-463a-b868-a0dc9fde777f,adore,17/12/20 19:38,GIF,public speaking,72,negative,,
20902,b3bcbff0-d160-4fbc-b3c6-8113ceb38056,adore,19/4/21 9:09,audio,science,72,negative,,
20919,b3bcbff0-d160-4fbc-b3c6-8113ceb38056,adore,28/1/21 15:19,audio,science,72,positive,,
20925,b3bcbff0-d160-4fbc-b3c6-8113ceb38056,adore,24/4/21 8:10,audio,science,72,positive,,
20936,b3bcbff0-d160-4fbc-b3c6-8113ceb38056,adore,12/11/2020,audio,science,72,positive,,
20966,4304a382-1527-4e7d-af7b-691d976f9ad4,adore,24/4/21 19:27,video,tennis,72,positive,,
20980,2ceee25a-8461-4409-ab41-7a72d97d722d,adore,16/9/20 8:51,photo,animals,72,neutral,,
20988,2ceee25a-8461-4409-ab41-7a72d97d722d,adore,24/1/21 21:10,photo,animals,72,negative,,
20991,2ceee25a-8461-4409-ab41-7a72d97d722d,adore,26/7/20 16:22,photo,animals,72,negative,,
21017,6407f238-511b-4ade-b77b-0f3bc8b2f300,adore,31/1/21 0:51,audio,studying,72,negative,,
21022,437fab54-2c89-4b0b-8d89-dd2320d83e81,adore,23/5/21 11:39,photo,tennis,72,neutral,,
21042,a4f6b4c2-36bd-4232-bef8-66577a601163,adore,21/8/20 20:30,photo,animals,72,negative,,
21073,a4f6b4c2-36bd-4232-bef8-66577a601163,adore,12/10/2020,photo,animals,72,negative,,
21074,a4f6b4c2-36bd-4232-bef8-66577a601163,adore,6/11/2020,photo,animals,72,positive,,
21086,8838fd48-05c4-4b57-a192-35e9ff67f9b2,adore,10/4/2021,video,soccer,72,neutral,,
21107,01396602-c759-4a17-90f0-8f9b3ca11b30,adore,7/2/2021,GIF,tennis,72,neutral,,
21170,7bbce877-eb47-4ad3-9a57-7ec4a0190f1b,adore,15/6/21 1:00,photo,travel,72,negative,,
21181,7bbce877-eb47-4ad3-9a57-7ec4a0190f1b,adore,11/3/2021,photo,travel,72,positive,,
21193,7bbce877-eb47-4ad3-9a57-7ec4a0190f1b,adore,14/2/21 1:51,photo,travel,72,negative,,
21209,b3b384bf-3a17-4ccb-ba86-583dede8fe3c,adore,21/5/21 17:25,photo,education,72,positive,,
21230,b3b384bf-3a17-4ccb-ba86-583dede8fe3c,adore,26/2/21 17:01,photo,education,72,positive,,
21246,b9ff65d6-b79a-4f9b-8745-10088ddf9934,adore,30/5/21 3:29,video,animals,72,positive,,
21248,b9ff65d6-b79a-4f9b-8745-10088ddf9934,adore,23/2/21 15:59,video,animals,72,positive,,
21249,b9ff65d6-b79a-4f9b-8745-10088ddf9934,adore,26/10/20 18:02,video,animals,72,negative,,
21264,b9ff65d6-b79a-4f9b-8745-10088ddf9934,adore,30/5/21 12:18,video,animals,72,negative,,
21290,3091e63e-1355-4eb6-9fa7-5c6e75f1d3b8,adore,19/7/20 0:38,GIF,culture,72,positive,,
21316,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,adore,25/8/20 2:45,photo,animals,72,positive,,
21319,4ad4b955-c65a-467d-aa27-1ca804d05170,adore,28/2/21 23:35,audio,culture,72,positive,,
21328,3c6354b3-7e8a-4d8c-bb80-33f17c17bd32,adore,25/10/20 15:35,audio,cooking,72,positive,,
21329,3c6354b3-7e8a-4d8c-bb80-33f17c17bd32,adore,16/7/20 8:18,audio,cooking,72,positive,,
21363,3c6354b3-7e8a-4d8c-bb80-33f17c17bd32,adore,16/10/20 17:41,audio,cooking,72,negative,,
21365,3c6354b3-7e8a-4d8c-bb80-33f17c17bd32,adore,5/10/2020,audio,cooking,72,neutral,,
21372,8caec934-9519-47de-8dd4-b6d65e279661,adore,19/5/21 21:15,audio,public speaking,72,positive,,
21377,8caec934-9519-47de-8dd4-b6d65e279661,adore,29/12/20 21:58,audio,public speaking,72,positive,,
21379,8caec934-9519-47de-8dd4-b6d65e279661,adore,24/11/20 12:15,audio,public speaking,72,positive,,
21406,8caec934-9519-47de-8dd4-b6d65e279661,adore,23/5/21 15:10,audio,public speaking,72,negative,,
21423,c24a56ff-256e-46eb-9936-a6284451fc61,adore,17/10/20 3:11,video,studying,72,negative,,
21425,c24a56ff-256e-46eb-9936-a6284451fc61,adore,1/2/2021,video,studying,72,neutral,,
21428,c24a56ff-256e-46eb-9936-a6284451fc61,adore,24/7/20 8:12,video,studying,72,neutral,,
21436,c24a56ff-256e-46eb-9936-a6284451fc61,adore,8/9/2020,video,studying,72,positive,,
21497,9a517a10-7dd2-4a30-b67a-925569d9ed84,adore,22/8/20 6:58,audio,science,72,negative,,
21500,9a517a10-7dd2-4a30-b67a-925569d9ed84,adore,14/1/21 9:53,audio,science,72,positive,,
21521,4b6d1c04-e75d-4e96-b5f7-f49c4af8d89b,adore,26/11/20 11:39,audio,veganism,72,negative,,
21529,4b6d1c04-e75d-4e96-b5f7-f49c4af8d89b,adore,20/8/20 1:31,audio,veganism,72,negative,,
21556,295ff9f6-64f3-4704-9272-4a932f11d709,adore,3/8/2020,video,travel,72,positive,,
21572,7ef17afb-ded2-4675-9800-2cf7fe58e6b1,adore,28/10/20 9:37,audio,studying,72,positive,,
21579,bfc26d2d-b5e5-415a-b104-64befef2f52a,adore,25/6/20 16:11,audio,food,72,negative,,
21600,bfc26d2d-b5e5-415a-b104-64befef2f52a,adore,10/4/2021,audio,food,72,positive,,
21615,2eb32cf2-da20-4b27-b4b6-c91716f528a5,adore,4/3/2021,audio,veganism,72,positive,,
21618,2eb32cf2-da20-4b27-b4b6-c91716f528a5,adore,7/12/2020,audio,veganism,72,negative,,
21621,2eb32cf2-da20-4b27-b4b6-c91716f528a5,adore,17/8/20 1:01,audio,veganism,72,positive,,
21625,2eb32cf2-da20-4b27-b4b6-c91716f528a5,adore,1/6/2021,audio,veganism,72,neutral,,
21681,6519b8ec-1253-4f91-8abb-3c5a04eccd2b,adore,25/4/21 5:25,photo,animals,72,negative,,
21698,6519b8ec-1253-4f91-8abb-3c5a04eccd2b,adore,28/11/20 19:29,photo,animals,72,negative,,
21718,fa39acec-96b1-441d-8f85-16dfb44bdfba,adore,19/2/21 10:00,photo,culture,72,positive,,
21727,fa39acec-96b1-441d-8f85-16dfb44bdfba,adore,25/1/21 0:00,photo,culture,72,negative,,
21851,04e1996d-ccb3-4b19-923a-8dc2a52e4bd4,adore,20/2/21 8:13,audio,education,72,positive,,
21933,4ae90f6e-da63-4ce2-a357-a4b36c739b80,adore,26/3/21 7:01,GIF,travel,72,negative,,
21934,4ae90f6e-da63-4ce2-a357-a4b36c739b80,adore,19/12/20 1:31,GIF,travel,72,negative,,
21936,4ae90f6e-da63-4ce2-a357-a4b36c739b80,adore,26/2/21 3:14,GIF,travel,72,neutral,,
21960,ec9a2001-b58d-4a7a-86a5-f7ff637f0fe8,adore,14/11/20 5:25,audio,travel,72,positive,,
21997,0a390a93-0e59-4a7a-a12c-d3f5ce4924fe,adore,28/10/20 16:17,video,public speaking,72,positive,,
22004,0a390a93-0e59-4a7a-a12c-d3f5ce4924fe,adore,16/11/20 17:02,video,public speaking,72,positive,,
22010,d61c4f76-99c6-4cd7-aaad-b3561880aa26,adore,16/6/21 6:35,photo,technology,72,neutral,,
22022,d61c4f76-99c6-4cd7-aaad-b3561880aa26,adore,2/2/2021,photo,technology,72,positive,,
22028,d61c4f76-99c6-4cd7-aaad-b3561880aa26,adore,11/12/2020,photo,technology,72,positive,,
22062,d4012724-c8bf-4db3-8670-dfa1f630a72a,adore,1/6/2021,photo,studying,72,positive,,
22063,d4012724-c8bf-4db3-8670-dfa1f630a72a,adore,24/10/20 12:58,photo,studying,72,positive,,
22065,d4012724-c8bf-4db3-8670-dfa1f630a72a,adore,21/4/21 4:32,photo,studying,72,positive,,
22067,d4012724-c8bf-4db3-8670-dfa1f630a72a,adore,18/11/20 3:02,photo,studying,72,negative,,
22081,d4012724-c8bf-4db3-8670-dfa1f630a72a,adore,16/1/21 2:59,photo,studying,72,positive,,
22087,d4012724-c8bf-4db3-8670-dfa1f630a72a,adore,29/10/20 2:56,photo,studying,72,positive,,
22118,21bc3be6-6bd1-4926-8bee-c4585873851b,adore,8/6/2021,video,soccer,72,positive,,
22136,8c3e8682-dec4-4d3b-a4e1-8c146f70d56f,adore,18/5/21 6:06,video,food,72,positive,,
22146,8c3e8682-dec4-4d3b-a4e1-8c146f70d56f,adore,11/8/2020,video,food,72,positive,,
22158,bc8024c3-c51e-4875-b8df-419e9848f492,adore,20/6/20 6:31,GIF,veganism,72,positive,,
22188,1e1a8878-0435-4171-97e6-fddb4abc3452,adore,1/4/2021,GIF,healthy eating,72,positive,,
22205,8d7a1aff-abed-432f-a458-a4ab40324e72,adore,1/10/2020,GIF,travel,72,positive,,
22240,f0c6ae88-c87e-4812-9713-ae45018a1f73,adore,15/3/21 2:35,photo,science,72,negative,,
22256,8f82022e-2ba7-4269-ab8f-3b47f87004de,adore,18/10/20 6:03,audio,healthy eating,72,positive,,
22275,8891433d-d874-4bd5-a8ca-4114a4131b20,adore,12/11/2020,GIF,tennis,72,positive,,
22280,8891433d-d874-4bd5-a8ca-4114a4131b20,adore,5/11/2020,GIF,tennis,72,positive,,
22288,8891433d-d874-4bd5-a8ca-4114a4131b20,adore,7/2/2021,GIF,tennis,72,positive,,
22299,8891433d-d874-4bd5-a8ca-4114a4131b20,adore,7/5/2021,GIF,tennis,72,positive,,
22324,c4cc899d-4c35-47fd-9710-8e2dea9782c9,adore,12/12/2020,photo,science,72,positive,,
22348,c4cc899d-4c35-47fd-9710-8e2dea9782c9,adore,18/5/21 10:36,photo,science,72,negative,,
22360,c4cc899d-4c35-47fd-9710-8e2dea9782c9,adore,13/12/20 20:22,photo,science,72,negative,,
22362,c4cc899d-4c35-47fd-9710-8e2dea9782c9,adore,26/6/20 16:06,photo,science,72,negative,,
22368,42a0f482-d3a8-4216-ba0b-1459abf854a6,adore,11/1/2021,GIF,culture,72,positive,,
22382,42a0f482-d3a8-4216-ba0b-1459abf854a6,adore,22/1/21 16:57,GIF,culture,72,negative,,
22390,041bf6c9-8b33-4ca0-a787-762eb8837d0c,adore,12/5/2021,GIF,food,72,positive,,
22392,041bf6c9-8b33-4ca0-a787-762eb8837d0c,adore,20/10/20 4:54,GIF,food,72,positive,,
22410,041bf6c9-8b33-4ca0-a787-762eb8837d0c,adore,6/12/2020,GIF,food,72,positive,,
22417,041bf6c9-8b33-4ca0-a787-762eb8837d0c,adore,12/10/2020,GIF,food,72,positive,,
22428,041bf6c9-8b33-4ca0-a787-762eb8837d0c,adore,11/2/2021,GIF,food,72,positive,,
22465,5fefd228-c550-4023-b767-ec8aa62de850,adore,19/8/20 12:28,video,cooking,72,positive,,
22466,5fefd228-c550-4023-b767-ec8aa62de850,adore,22/10/20 2:42,video,cooking,72,positive,,
22469,5fefd228-c550-4023-b767-ec8aa62de850,adore,11/9/2020,video,cooking,72,negative,,
22473,5fefd228-c550-4023-b767-ec8aa62de850,adore,27/1/21 22:35,video,cooking,72,positive,,
22479,5fefd228-c550-4023-b767-ec8aa62de850,adore,19/5/21 17:10,video,cooking,72,positive,,
22523,66af1757-534a-4ef9-a5a5-9d721e7c6c00,adore,9/11/2020,audio,healthy eating,72,negative,,
22532,2771fa81-b26c-4e11-86ac-90e85faf4981,adore,3/9/2020,video,dogs,72,positive,,
22567,a03b3048-776e-4925-a52e-f6b1760a1be4,adore,29/4/21 11:46,photo,education,72,positive,,
22641,98a7f6b9-8dd3-40c9-8c98-db01b6c80015,adore,14/6/21 14:49,video,technology,72,negative,,
22647,98a7f6b9-8dd3-40c9-8c98-db01b6c80015,adore,14/9/20 14:50,video,technology,72,positive,,
22652,98a7f6b9-8dd3-40c9-8c98-db01b6c80015,adore,28/2/21 2:19,video,technology,72,neutral,,
22655,98a7f6b9-8dd3-40c9-8c98-db01b6c80015,adore,20/9/20 6:53,video,technology,72,positive,,
22659,a8160135-2d55-4240-8f28-fbee5ec84801,adore,19/5/21 0:43,video,studying,72,positive,,
22675,cafddd25-5653-4219-8dc7-a3eae45ea926,adore,31/1/21 17:53,video,fitness,72,negative,,
22702,cafddd25-5653-4219-8dc7-a3eae45ea926,adore,29/3/21 0:49,video,fitness,72,negative,,
22728,c24f4499-faae-4ff0-baf1-4be6a9061aa1,adore,27/1/21 17:35,audio,animals,72,positive,,
22744,2669dbfc-65d4-4770-a916-e6507f881131,adore,16/6/21 22:43,photo,science,72,negative,,
22756,2669dbfc-65d4-4770-a916-e6507f881131,adore,18/3/21 4:12,photo,science,72,neutral,,
22777,b529487b-160b-48cd-aacc-2741b18462c6,adore,31/5/21 17:47,GIF,studying,72,negative,,
22800,e3bfdd7e-d7e2-4717-b780-2fa14f3cf858,adore,3/6/2021,photo,dogs,72,positive,,
22808,e3bfdd7e-d7e2-4717-b780-2fa14f3cf858,adore,16/4/21 21:27,photo,dogs,72,negative,,
22824,e3bfdd7e-d7e2-4717-b780-2fa14f3cf858,adore,24/12/20 15:15,photo,dogs,72,neutral,,
22859,25c8f882-464d-4465-9ed2-e7f7706c1775,adore,8/9/2020,audio,healthy eating,72,positive,,
22865,df6e9952-4e2a-488a-bb83-3a7241f30e6f,adore,22/6/20 1:18,video,culture,72,negative,,
22900,df6e9952-4e2a-488a-bb83-3a7241f30e6f,adore,24/11/20 6:47,video,culture,72,negative,,
22908,4789b064-7b3c-4339-bf15-b9e38222930c,adore,26/6/20 22:33,photo,education,72,positive,,
22909,4789b064-7b3c-4339-bf15-b9e38222930c,adore,15/1/21 4:38,photo,education,72,negative,,
22936,77a3ac9f-7607-411f-a280-5431c71e3943,adore,3/5/2021,audio,tennis,72,positive,,
22945,77a3ac9f-7607-411f-a280-5431c71e3943,adore,2/5/2021,audio,tennis,72,negative,,
22960,edea43f3-1541-4e42-8419-d1cdf749025c,adore,22/7/20 17:26,photo,cooking,72,positive,,
22970,edea43f3-1541-4e42-8419-d1cdf749025c,adore,26/2/21 14:18,photo,cooking,72,negative,,
23000,217f4060-b378-4d79-992f-20502d407f7c,adore,16/11/20 10:41,photo,cooking,72,positive,,
23003,217f4060-b378-4d79-992f-20502d407f7c,adore,7/3/2021,photo,cooking,72,positive,,
